hour,dayofweek,is_weekend,temp_C,humidity_pct,rain_mm,rain_flag,outage_prob_model,duration_off_hours,power_lag1,power_lag24,temp_rolling3,location_Enugu,location_Lagos,location_Nsukka
3,4,0,31.78,48.3,0.0,0,0.449,2,0.0,1.0,26.74666666666667,True,False,False
6,4,0,32.36,37.1,0.0,0,0.373,0,0.0,0.0,30.536666666666672,True,False,False
9,4,0,30.7,50.7,1.04,1,0.551,0,1.0,0.0,31.613333333333333,True,False,False
12,4,0,27.12,55.3,0.0,0,0.404,1,1.0,0.0,30.060000000000002,True,False,False
15,4,0,24.53,73.1,1.12,1,0.541,0,0.0,0.0,27.450000000000003,True,False,False
18,4,0,21.08,69.1,0.0,0,0.488,0,1.0,1.0,24.243333333333336,True,False,False
21,4,0,23.11,63.9,0.0,0,0.464,1,1.0,0.0,22.906666666666666,True,False,False
0,5,1,24.78,58.4,0.0,0,0.443,1,0.0,0.0,22.99,True,False,False
3,5,1,31.57,49.4,0.0,0,0.427,3,0.0,0.0,26.486666666666668,True,False,False
6,5,1,33.07,39.4,0.0,0,0.479,0,0.0,1.0,29.806666666666672,True,False,False
9,5,1,31.28,43.8,0.85,1,0.598,1,1.0,1.0,31.97333333333334,True,False,False
12,5,1,27.19,59.0,0.0,0,0.431,0,0.0,1.0,30.51333333333334,True,False,False
15,5,1,24.46,68.3,0.39,1,0.643,1,1.0,1.0,27.643333333333334,True,False,False
18,5,1,19.71,72.2,0.48,1,0.743,7,0.0,0.0,23.786666666666672,True,False,False
21,5,1,22.38,63.3,1.97,1,0.654,2,0.0,0.0,22.183333333333337,True,False,False
0,6,1,26.96,54.2,0.0,0,0.41,1,0.0,1.0,23.01666666666667,True,False,False
3,6,1,30.46,50.5,0.0,0,0.495,5,0.0,0.0,26.600000000000005,True,False,False
6,6,1,32.72,43.5,1.8,1,0.563,1,0.0,0.0,30.04666666666667,True,False,False
9,6,1,31.71,52.1,2.61,1,0.634,0,0.0,0.0,31.630000000000006,True,False,False
12,6,1,25.67,65.9,0.0,0,0.387,1,1.0,0.0,30.03333333333333,True,False,False
15,6,1,22.67,63.9,0.0,0,0.478,1,0.0,0.0,26.683333333333337,True,False,False
18,6,1,23.3,71.2,2.91,1,0.783,0,0.0,1.0,23.880000000000006,True,False,False
21,6,1,21.02,79.2,0.97,1,0.735,0,1.0,1.0,22.330000000000002,True,False,False
0,0,0,26.96,60.3,0.0,0,0.354,0,1.0,0.0,23.76,True,False,False
3,0,0,32.23,49.9,0.0,0,0.444,1,1.0,0.0,26.736666666666668,True,False,False
6,0,0,34.09,46.0,0.0,0,0.387,1,0.0,1.0,31.093333333333334,True,False,False
9,0,0,31.36,61.1,0.0,0,0.416,1,0.0,1.0,32.56,True,False,False
12,0,0,25.87,64.7,0.24,1,0.577,1,0.0,0.0,30.44,True,False,False
15,0,0,23.48,76.8,1.81,1,0.543,0,0.0,1.0,26.903333333333336,True,False,False
18,0,0,19.8,66.3,0.0,0,0.514,0,1.0,1.0,23.05,True,False,False
21,0,0,22.55,71.1,0.0,0,0.574,7,1.0,0.0,21.94333333333334,True,False,False
0,1,0,27.11,56.2,0.0,0,0.36,1,0.0,0.0,23.153333333333336,True,False,False
3,1,0,31.2,48.9,0.96,1,0.641,1,0.0,0.0,26.953333333333337,True,False,False
6,1,0,31.58,46.7,0.0,0,0.454,3,0.0,1.0,29.963333333333335,True,False,False
9,1,0,32.0,53.9,0.0,0,0.247,0,0.0,0.0,31.593333333333334,True,False,False
12,1,0,28.17,52.1,0.05,1,0.64,0,1.0,1.0,30.583333333333332,True,False,False
15,1,0,22.17,80.3,0.0,0,0.465,0,1.0,0.0,27.44666666666667,True,False,False
18,1,0,21.01,63.1,7.41,1,0.773,0,1.0,0.0,23.783333333333335,True,False,False
21,1,0,20.29,69.7,0.0,0,0.472,0,1.0,0.0,21.156666666666666,True,False,False
0,2,0,28.88,55.0,0.0,0,0.424,0,1.0,0.0,23.393333333333334,True,False,False
3,2,0,30.4,49.6,0.0,0,0.386,6,1.0,0.0,26.52333333333333,True,False,False
6,2,0,33.37,40.6,0.0,0,0.378,0,0.0,0.0,30.883333333333336,True,False,False
9,2,0,30.16,57.3,5.11,1,0.635,1,1.0,1.0,31.310000000000002,True,False,False
12,2,0,29.19,52.4,0.0,0,0.349,0,0.0,0.0,30.906666666666666,True,False,False
15,2,0,23.74,83.6,3.97,1,0.618,1,1.0,0.0,27.69666666666667,True,False,False
18,2,0,19.57,71.5,1.06,1,0.766,1,0.0,1.0,24.16666666666667,True,False,False
21,2,0,23.02,70.4,0.58,1,0.705,2,0.0,1.0,22.110000000000003,True,False,False
0,3,0,27.3,65.0,2.73,1,0.626,3,0.0,1.0,23.29666666666667,True,False,False
3,3,0,33.38,48.3,0.0,0,0.495,0,0.0,0.0,27.900000000000002,True,False,False
6,3,0,31.96,40.7,0.76,1,0.612,1,1.0,0.0,30.880000000000006,True,False,False
9,3,0,28.74,51.3,0.0,0,0.295,0,0.0,0.0,31.360000000000003,True,False,False
12,3,0,27.56,71.4,0.83,1,0.589,1,1.0,0.0,29.419999999999998,True,False,False
15,3,0,23.51,66.4,0.0,0,0.423,2,0.0,1.0,26.603333333333335,True,False,False
18,3,0,20.76,79.1,0.0,0,0.437,1,0.0,1.0,23.94333333333334,True,False,False
21,3,0,22.57,77.4,0.89,1,0.698,4,0.0,0.0,22.28,True,False,False
0,4,0,25.85,67.2,0.0,0,0.482,0,0.0,0.0,23.060000000000002,True,False,False
3,4,0,30.4,47.7,0.0,0,0.379,0,1.0,0.0,26.27333333333333,True,False,False
6,4,0,33.54,51.2,0.0,0,0.45,1,1.0,0.0,29.929999999999996,True,False,False
9,4,0,31.71,45.1,2.6,1,0.622,7,0.0,1.0,31.883333333333336,True,False,False
12,4,0,27.19,65.2,1.1,1,0.644,0,0.0,1.0,30.813333333333333,True,False,False
15,4,0,22.73,68.6,0.0,0,0.388,1,1.0,1.0,27.209999999999997,True,False,False
18,4,0,20.53,66.9,2.68,1,0.64,1,0.0,1.0,23.483333333333334,True,False,False
21,4,0,23.92,73.5,0.0,0,0.512,0,0.0,1.0,22.393333333333334,True,False,False
0,5,1,27.11,60.1,0.0,0,0.421,1,1.0,1.0,23.853333333333335,True,False,False
3,5,1,32.29,44.5,0.0,0,0.455,6,0.0,0.0,27.77333333333333,True,False,False
6,5,1,31.15,46.5,0.0,0,0.398,0,0.0,1.0,30.183333333333334,True,False,False
9,5,1,31.52,55.4,0.0,0,0.442,1,1.0,0.0,31.653333333333332,True,False,False
12,5,1,26.01,67.9,0.23,1,0.613,0,0.0,1.0,29.560000000000002,True,False,False
15,5,1,21.47,61.1,1.34,1,0.564,1,1.0,0.0,26.333333333333332,True,False,False
18,5,1,21.51,74.5,1.18,1,0.717,1,0.0,0.0,22.99666666666667,True,False,False
21,5,1,24.13,70.7,0.0,0,0.597,3,0.0,0.0,22.37,True,False,False
0,6,1,26.19,64.5,0.0,0,0.464,0,0.0,0.0,23.94333333333333,True,False,False
3,6,1,32.76,49.5,0.0,0,0.443,1,1.0,1.0,27.69333333333333,True,False,False
6,6,1,33.14,45.9,0.0,0,0.387,0,0.0,0.0,30.69666666666667,True,False,False
9,6,1,31.62,45.5,0.0,0,0.419,0,1.0,1.0,32.50666666666667,True,False,False
12,6,1,26.93,72.0,0.0,0,0.412,0,1.0,0.0,30.563333333333333,True,False,False
15,6,1,23.64,82.4,0.0,0,0.429,1,1.0,0.0,27.396666666666665,True,False,False
18,6,1,20.8,75.1,0.0,0,0.502,1,0.0,0.0,23.790000000000003,True,False,False
21,6,1,22.17,71.6,0.1,1,0.776,1,0.0,0.0,22.203333333333337,True,False,False
0,0,0,27.2,58.5,0.0,0,0.413,0,0.0,1.0,23.39,True,False,False
3,0,0,30.68,43.8,0.12,1,0.556,0,1.0,1.0,26.683333333333334,True,False,False
6,0,0,33.71,39.9,3.61,1,0.633,0,1.0,0.0,30.53,True,False,False
9,0,0,32.14,46.1,0.7,1,0.518,2,1.0,0.0,32.17666666666667,True,False,False
12,0,0,26.37,54.4,0.0,0,0.453,2,0.0,1.0,30.740000000000006,True,False,False
15,0,0,23.26,69.9,0.0,0,0.361,0,0.0,0.0,27.25666666666667,True,False,False
18,0,0,19.57,80.3,0.64,1,0.702,2,1.0,0.0,23.066666666666666,True,False,False
21,0,0,22.33,63.8,0.42,1,0.704,1,0.0,1.0,21.72,True,False,False
0,1,0,27.38,65.1,2.58,1,0.577,0,0.0,0.0,23.093333333333334,True,False,False
3,1,0,31.55,46.4,0.0,0,0.397,6,1.0,0.0,27.086666666666662,True,False,False
6,1,0,31.98,46.3,1.14,1,0.597,3,0.0,1.0,30.30333333333333,True,False,False
9,1,0,31.37,43.9,0.0,0,0.481,1,0.0,0.0,31.633333333333336,True,False,False
12,1,0,26.08,58.0,0.0,0,0.438,1,0.0,1.0,29.810000000000002,True,False,False
15,1,0,23.5,72.8,0.0,0,0.378,0,0.0,0.0,26.98333333333333,True,False,False
18,1,0,20.79,75.7,0.0,0,0.563,0,1.0,0.0,23.456666666666667,True,False,False
21,1,0,22.78,70.4,4.28,1,0.703,1,1.0,0.0,22.356666666666666,True,False,False
0,2,0,27.65,55.4,0.0,0,0.421,5,0.0,1.0,23.74,True,False,False
3,2,0,31.83,43.0,0.0,0,0.386,2,0.0,0.0,27.419999999999998,True,False,False
6,2,0,33.39,54.4,0.0,0,0.396,0,0.0,1.0,30.956666666666667,True,False,False
9,2,0,30.93,40.1,0.0,0,0.42,0,1.0,1.0,32.05,True,False,False
12,2,0,24.37,49.9,1.61,1,0.525,2,1.0,1.0,29.563333333333333,True,False,False
15,2,0,25.01,74.6,0.0,0,0.47,3,0.0,0.0,26.77,True,False,False
18,2,0,20.61,72.9,0.0,0,0.493,0,0.0,0.0,23.330000000000002,True,False,False
21,2,0,21.18,63.7,0.0,0,0.623,0,1.0,0.0,22.266666666666666,True,False,False
0,3,0,28.37,60.1,0.0,0,0.444,2,1.0,1.0,23.386666666666667,True,False,False
3,3,0,32.45,54.8,0.0,0,0.43,0,0.0,1.0,27.333333333333332,True,False,False
6,3,0,32.25,50.4,0.0,0,0.394,2,1.0,1.0,31.02333333333333,True,False,False
9,3,0,31.11,57.2,0.0,0,0.465,0,0.0,0.0,31.936666666666667,True,False,False
12,3,0,26.22,68.0,0.0,0,0.362,0,1.0,0.0,29.859999999999996,True,False,False
15,3,0,22.89,64.3,0.0,0,0.469,1,1.0,1.0,26.74,True,False,False
18,3,0,21.77,85.3,2.55,1,0.715,4,0.0,0.0,23.626666666666665,True,False,False
21,3,0,24.43,75.4,2.28,1,0.773,1,0.0,0.0,23.029999999999998,True,False,False
0,4,0,28.43,56.5,1.79,1,0.596,1,0.0,1.0,24.876666666666665,True,False,False
3,4,0,29.69,48.1,0.0,0,0.412,1,0.0,0.0,27.516666666666666,True,False,False
6,4,0,33.86,48.1,0.0,0,0.388,0,0.0,0.0,30.659999999999997,True,False,False
9,4,0,31.41,51.8,0.0,0,0.428,1,1.0,0.0,31.653333333333332,True,False,False
12,4,0,27.51,73.1,0.0,0,0.436,5,0.0,0.0,30.926666666666662,True,False,False
15,4,0,23.38,69.4,0.88,1,0.573,3,0.0,1.0,27.433333333333334,True,False,False
18,4,0,22.09,74.5,0.0,0,0.531,0,0.0,1.0,24.326666666666664,True,False,False
21,4,0,20.85,66.8,0.0,0,0.552,1,1.0,0.0,22.106666666666666,True,False,False
0,5,1,26.83,53.6,0.0,0,0.361,0,0.0,0.0,23.256666666666664,True,False,False
3,5,1,31.9,54.8,0.0,0,0.405,0,1.0,0.0,26.52666666666666,True,False,False
6,5,1,35.14,42.5,0.0,0,0.527,1,1.0,1.0,31.289999999999996,True,False,False
9,5,1,30.24,50.2,0.49,1,0.643,3,0.0,1.0,32.42666666666666,True,False,False
12,5,1,26.61,58.7,0.0,0,0.462,0,0.0,0.0,30.66333333333333,True,False,False
15,5,1,21.1,70.2,0.88,1,0.634,0,1.0,0.0,25.98333333333333,True,False,False
18,5,1,21.01,73.0,0.0,0,0.509,2,1.0,1.0,22.906666666666666,True,False,False
21,5,1,23.24,65.0,1.24,1,0.765,1,0.0,1.0,21.78333333333333,True,False,False
0,6,1,25.36,69.0,0.0,0,0.466,0,0.0,0.0,23.20333333333333,True,False,False
3,6,1,28.56,48.2,1.97,1,0.641,0,1.0,1.0,25.72,True,False,False
6,6,1,31.73,48.8,0.0,0,0.505,1,1.0,0.0,28.549999999999997,True,False,False
9,6,1,31.18,49.2,0.0,0,0.569,0,0.0,1.0,30.49,True,False,False
12,6,1,26.04,55.0,0.0,0,0.419,1,1.0,1.0,29.649999999999995,True,False,False
15,6,1,22.45,68.8,0.0,0,0.41,0,0.0,0.0,26.55666666666666,True,False,False
18,6,1,22.21,73.8,0.0,0,0.507,0,1.0,0.0,23.566666666666663,True,False,False
21,6,1,22.96,70.0,3.82,1,0.734,1,1.0,0.0,22.539999999999996,True,False,False
0,0,0,27.7,63.0,0.0,0,0.408,5,0.0,0.0,24.289999999999996,True,False,False
3,0,0,31.32,53.8,0.0,0,0.42,2,0.0,0.0,27.326666666666664,True,False,False
6,0,0,32.01,44.6,0.0,0,0.289,0,0.0,1.0,30.343333333333334,True,False,False
9,0,0,32.47,49.3,0.0,0,0.314,5,1.0,0.0,31.933333333333326,True,False,False
12,0,0,29.22,58.2,0.0,0,0.279,0,0.0,0.0,31.23333333333333,True,False,False
15,0,0,21.98,74.3,0.0,0,0.418,0,1.0,0.0,27.889999999999997,True,False,False
18,0,0,19.79,76.5,0.0,0,0.693,2,1.0,1.0,23.66333333333333,True,False,False
21,0,0,23.19,77.3,0.09,1,0.633,2,0.0,0.0,21.653333333333332,True,False,False
0,1,0,26.1,54.6,0.11,1,0.597,1,0.0,1.0,23.02666666666666,True,False,False
3,1,0,32.23,52.3,0.39,1,0.538,0,0.0,1.0,27.173333333333332,True,False,False
6,1,0,34.07,50.6,0.0,0,0.402,0,1.0,0.0,30.799999999999997,True,False,False
9,1,0,29.81,45.9,0.0,0,0.42,1,1.0,0.0,32.03666666666666,True,False,False
12,1,0,25.98,54.8,0.0,0,0.411,1,0.0,1.0,29.95333333333333,True,False,False
15,1,0,22.31,72.1,0.0,0,0.377,0,0.0,1.0,26.03333333333333,True,False,False
18,1,0,20.54,78.8,0.0,0,0.501,0,1.0,0.0,22.943333333333328,True,False,False
21,1,0,21.72,77.0,0.0,0,0.543,3,1.0,0.0,21.52333333333333,True,False,False
0,2,0,27.05,60.2,0.01,1,0.577,0,0.0,1.0,23.103333333333328,True,False,False
3,2,0,29.12,58.6,0.0,0,0.476,0,1.0,1.0,25.963333333333335,True,False,False
6,2,0,31.93,33.7,0.0,0,0.426,0,1.0,0.0,29.366666666666664,True,False,False
9,2,0,30.8,46.4,0.0,0,0.448,1,1.0,1.0,30.616666666666664,True,False,False
12,2,0,25.41,69.7,0.0,0,0.424,0,0.0,0.0,29.379999999999995,True,False,False
15,2,0,22.84,68.3,0.0,0,0.337,0,1.0,1.0,26.349999999999998,True,False,False
18,2,0,19.96,81.2,0.0,0,0.538,1,1.0,1.0,22.736666666666665,True,False,False
21,2,0,23.39,72.5,0.24,1,0.679,1,0.0,0.0,22.063333333333333,True,False,False
0,3,0,25.39,62.0,0.0,0,0.523,0,0.0,0.0,22.91333333333333,True,False,False
3,3,0,34.15,45.3,2.82,1,0.669,1,1.0,0.0,27.64333333333333,True,False,False
6,3,0,35.03,39.7,0.19,1,0.668,1,0.0,1.0,31.52333333333333,True,False,False
9,3,0,30.4,57.4,0.0,0,0.35,0,0.0,0.0,33.19333333333333,True,False,False
12,3,0,25.73,61.6,0.0,0,0.404,0,1.0,1.0,30.38666666666666,True,False,False
15,3,0,23.12,65.1,0.0,0,0.453,0,1.0,1.0,26.416666666666668,True,False,False
18,3,0,20.17,76.8,0.0,0,0.601,2,1.0,0.0,23.006666666666664,True,False,False
21,3,0,23.53,72.8,0.0,0,0.602,2,0.0,0.0,22.27333333333333,True,False,False
0,4,0,26.65,62.3,0.0,0,0.475,0,0.0,0.0,23.45,True,False,False
3,4,0,31.91,48.8,0.0,0,0.347,0,1.0,1.0,27.36333333333333,True,False,False
6,4,0,33.71,39.5,0.1,1,0.672,3,1.0,1.0,30.756666666666664,True,False,False
9,4,0,30.52,57.0,2.75,1,0.579,7,0.0,0.0,32.04666666666667,True,False,False
12,4,0,25.96,60.4,3.54,1,0.499,0,0.0,0.0,30.063333333333333,True,False,False
15,4,0,22.94,72.0,0.0,0,0.419,0,1.0,1.0,26.473333333333333,True,False,False
18,4,0,20.29,80.5,0.0,0,0.533,1,1.0,1.0,23.063333333333333,True,False,False
21,4,0,21.79,73.4,0.0,0,0.492,1,0.0,0.0,21.673333333333332,True,False,False
0,5,1,26.61,54.7,0.72,1,0.622,1,0.0,1.0,22.896666666666665,True,False,False
3,5,1,31.55,53.2,3.39,1,0.543,0,0.0,1.0,26.650000000000002,True,False,False
6,5,1,34.93,51.0,0.0,0,0.401,1,1.0,1.0,31.03,True,False,False
9,5,1,31.16,49.6,0.0,0,0.511,0,0.0,0.0,32.54666666666667,True,False,False
12,5,1,27.42,64.2,0.0,0,0.429,0,1.0,1.0,31.17,True,False,False
15,5,1,22.29,70.5,0.0,0,0.459,0,1.0,1.0,26.956666666666663,True,False,False
18,5,1,18.73,68.4,6.09,1,0.709,0,1.0,0.0,22.813333333333333,True,False,False
21,5,1,23.51,66.9,0.0,0,0.554,0,1.0,0.0,21.51,True,False,False
0,6,1,27.61,55.6,0.0,0,0.405,1,1.0,1.0,23.28333333333333,True,False,False
3,6,1,30.59,50.8,0.09,1,0.652,3,0.0,0.0,27.236666666666665,True,False,False
6,6,1,33.37,42.8,0.0,0,0.454,1,0.0,0.0,30.52333333333333,True,False,False
9,6,1,31.37,40.7,0.0,0,0.464,0,0.0,1.0,31.77666666666666,True,False,False
12,6,1,29.08,62.7,0.0,0,0.417,0,1.0,1.0,31.273333333333326,True,False,False
15,6,1,22.73,74.8,0.5,1,0.626,1,1.0,1.0,27.726666666666663,True,False,False
18,6,1,20.6,76.7,0.0,0,0.499,0,0.0,0.0,24.136666666666667,True,False,False
21,6,1,23.23,72.0,0.0,0,0.611,2,1.0,0.0,22.186666666666664,True,False,False
0,0,0,27.28,52.0,0.42,1,0.539,0,0.0,1.0,23.703333333333333,True,False,False
3,0,0,32.55,47.4,0.0,0,0.379,0,1.0,1.0,27.686666666666667,True,False,False
